nome,cpf,uf,turma,data_nascimento,email,endereco,período,modulo
Ana Carolina Peixoto,871.420.936-50,Mato Grosso do Sul,2,1999-01-18,rafaelaazevedo@da.br,"Condomínio Mariana Rezende, 15",noturno,aprofundamento ao python
Pedro Cardoso,957.402.681-76,Amazonas,3,2004-06-06,duarteyuri@bol.com.br,"Vereda Teixeira, 81",matutino,introdução ao python
Ryan da Conceição,205.194.768-67,Pará,3,2004-03-15,da-rochagiovanna@santos.br,"Passarela Mendes, 86",vespertino,scrum
Sophia Cardoso,298.301.654-42,Alagoas,2,1991-02-28,peixotoalexia@da.net,"Quadra Silveira, 14",noturno,introdução ao python
Joana Ferreira,984.203.561-15,São Paulo,1,2005-07-02,pedro-miguel74@da.net,"Trecho Rafael da Rosa, 2",matutino,aprofundamento ao python
Amanda Cavalcanti,508.293.147-41,Paraná,3,1994-01-30,icampos@gmail.com,Favela Maria Luiza Rezende,noturno,scrum
Sabrina da Cruz,579.108.324-60,Tocantins,2,2004-10-06,silvagabriel@uol.com.br,Rodovia Ramos,vespertino,carreiras
Enrico Azevedo,078.925.416-67,Rio de Janeiro,2,1993-01-10,alexandrepereira@yahoo.com.br,"Rodovia Araújo, 13",matutino,git
Isabelly Barros,375.812.960-59,Roraima,3,1996-10-20,ysales@aragao.br,"Sítio Gomes, 60",vespertino,github
Murilo Cardoso,096.418.237-87,Piauí,1,2003-12-31,emanuelsales@bol.com.br,"Vale de Cunha, 16",noturno,github
Caroline Moraes,364.792.018-50,Mato Grosso,2,2005-07-22,alvesandre@uol.com.br,"Quadra de Castro, 8",matutino,scrum
Isabel Nunes,780.936.125-21,Ceará,1,2001-07-10,giovannada-rosa@ig.com.br,"Praça Ferreira, 555",vespertino,github
Carlos Eduardo Sales,819.706.342-78,Tocantins,1,1997-09-22,maria-luizanogueira@uol.com.br,"Ladeira Rocha, 24",vespertino,aprofundamento ao python
Letícia Rezende,897.436.210-40,Santa Catarina,1,1998-08-18,matheusda-luz@nogueira.com,Jardim Almeida,vespertino,aprofundamento ao python
Ana Sophia Gonçalves,981.726.435-19,Pernambuco,1,2000-03-21,fogacaisabel@hotmail.com,"Favela Vitor Cardoso, 77",noturno,scrum
Luigi Cunha,273.084.659-00,Amazonas,2,1995-06-25,nnovaes@bol.com.br,"Núcleo da Costa, 5",noturno,introdução ao python
Vitor Gabriel das Neves,013.972.458-32,Rio Grande do Sul,3,2002-01-01,lpires@da.com,"Largo de Carvalho, 5",matutino,aprofundamento ao python
Ana Júlia Rezende,758.302.619-95,Mato Grosso do Sul,3,2005-07-05,samuel60@costela.com,"Setor Nascimento, 39",vespertino,git
João Lucas Cunha,842.637.059-47,Amapá,3,1996-11-30,rafaela72@da.com,Recanto Nicole da Paz,vespertino,carreiras
Enrico Pereira,945.368.207-10,Alagoas,3,2003-07-15,souzajuliana@fernandes.org,"Passarela Carolina Jesus, 453",vespertino,introdução ao python
Ana Vitória Ramos,074.963.821-40,Pará,2,2005-10-25,maria-sophiaporto@ig.com.br,"Lago Martins, 466",vespertino,scrum
Bryan Fogaça,306.812.594-42,Rio Grande do Norte,2,1993-08-01,maite51@uol.com.br,"Estação Milena Lopes, 467",matutino,introdução ao python
Enzo Gabriel Carvalho,471.620.589-49,Rio de Janeiro,3,1998-09-22,benjamin26@yahoo.com.br,"Viela de da Conceição, 9",vespertino,banco de dados
Heitor Rocha,981.543.206-06,Distrito Federal,3,1992-09-14,evelyn80@vieira.br,"Favela Pinto, 40",noturno,banco de dados
Daniel Correia,806.579.241-30,Alagoas,1,1998-07-16,hcastro@oliveira.br,"Alameda Enzo Gabriel Silva, 42",noturno,banco de dados
Benício Rezende,940.583.276-00,Roraima,3,2004-06-07,ana-julia83@gmail.com,"Conjunto João Lima, 6",matutino,scrum
Bernardo Nascimento,043.572.896-29,Acre,2,1996-02-01,caldeirarodrigo@dias.br,"Parque Julia Rocha, 92",noturno,carreiras
Thomas da Conceição,769.135.048-10,Rondônia,1,2005-09-30,rochaana-clara@das.net,"Lagoa de Campos, 13",matutino,aprofundamento ao python
Nicole Lima,301.968.524-98,Santa Catarina,1,1991-07-09,mporto@hotmail.com,"Travessa Luiz Felipe Pires, 535",noturno,banco de dados
Yasmin Cardoso,248.153.907-97,Bahia,3,2002-12-09,barrosbenicio@hotmail.com,Fazenda Lívia Melo,vespertino,github
Olivia Pinto,074.928.561-30,Mato Grosso,1,1992-12-19,vinicius96@yahoo.com.br,"Trecho Eloah Freitas, 15",vespertino,scrum
Benjamin Pires,853.461.279-09,Rio de Janeiro,1,1990-11-28,vitor97@uol.com.br,"Colônia Duarte, 80",noturno,carreiras
Laís Campos,759.213.648-19,Tocantins,3,1996-03-06,costamaria-cecilia@ribeiro.com,"Núcleo Gabriel Vieira, 769",noturno,github
Rodrigo Martins,428.531.960-89,Mato Grosso do Sul,2,1997-08-20,salestheo@yahoo.com.br,"Setor da Cunha, 72",vespertino,github
João Vitor Rodrigues,380.149.726-78,Pará,3,1997-09-18,hcampos@bol.com.br,"Área Yuri Lima, 70",noturno,introdução ao python
Luiz Henrique Sales,463.192.850-60,Sergipe,2,1991-11-21,carvalhomiguel@cavalcanti.com,"Conjunto Luna Pinto, 9",noturno,introdução ao python
Ana Lívia Caldeira,970.182.645-02,Mato Grosso,2,2001-06-16,gomesmirella@silva.net,"Núcleo de das Neves, 13",noturno,carreiras
Melissa Cardoso,972.038.546-47,Espírito Santo,1,2000-06-16,anthonyfarias@farias.br,"Aeroporto de Monteiro, 90",noturno,banco de dados
Eduardo Gonçalves,901.527.364-25,Espírito Santo,2,1998-02-05,enzo-gabriel15@bol.com.br,"Fazenda Gomes, 44",matutino,carreiras
Bárbara Sales,937.245.106-16,Paraíba,1,2003-06-23,benjamin89@santos.br,"Avenida Cavalcanti, 50",vespertino,carreiras
Kevin Barros,163.742.095-16,Rio Grande do Sul,2,1995-02-24,sarah66@uol.com.br,"Trevo de Pereira, 87",matutino,carreiras
Lucas Gabriel Gonçalves,586.123.409-42,Tocantins,3,1991-03-21,enzo-gabriel74@oliveira.net,"Passarela Cardoso, 87",noturno,carreiras
João Felipe Duarte,685.173.294-73,Sergipe,1,2002-10-17,stella77@da.com,Chácara Alana Rodrigues,noturno,aprofundamento ao python
Gabrielly Cunha,123.095.874-60,Roraima,2,2002-02-03,pedro-henrique91@ig.com.br,"Área Almeida, 21",vespertino,github
Leandro da Rocha,438.915.706-00,Santa Catarina,1,2003-05-23,da-rosajoao-guilherme@da.net,Passarela Cecília Costela,noturno,carreiras
Thomas Nascimento,831.459.267-64,Ceará,1,1996-10-13,teixeiragabrielly@da.br,Praia de Cardoso,matutino,carreiras
Rafaela Peixoto,572.130.984-97,Pernambuco,3,1994-10-26,ecastro@viana.com,"Condomínio de da Mota, 54",vespertino,aprofundamento ao python
Alana da Cruz,237.581.490-88,Rio Grande do Sul,3,1995-01-30,davi-luizmelo@bol.com.br,"Pátio de Vieira, 392",vespertino,introdução ao python
Danilo Duarte,902.516.437-43,Acre,1,1994-03-15,zcavalcanti@cardoso.com,Sítio Gabriel das Neves,matutino,git
Yago Santos,239.607.815-12,Alagoas,1,1995-08-05,camposbruno@gmail.com,Feira Maria Eduarda Costa,noturno,git
Larissa da Rosa,534.708.261-53,Pernambuco,3,1996-08-22,costelajoana@uol.com.br,"Rua Gabriela Alves, 541",vespertino,git
Fernanda Monteiro,278.546.031-62,Maranhão,1,1994-12-16,dcosta@ig.com.br,"Jardim Farias, 87",matutino,git
Lucas Gabriel Monteiro,962.735.810-02,Roraima,3,1999-05-07,sbarbosa@ig.com.br,"Praça de Farias, 7",matutino,git
Davi Lucca Caldeira,048.916.573-75,Paraná,2,1996-02-21,irezende@nascimento.net,"Alameda Mendes, 736",matutino,git
Vitor Gabriel da Conceição,034.716.258-44,São Paulo,3,1993-08-26,barrosmilena@moura.br,"Morro de Gomes, 9",noturno,aprofundamento ao python
Eduarda Alves,863.701.592-12,Mato Grosso do Sul,2,2004-02-26,isabella15@yahoo.com.br,Ladeira Araújo,noturno,carreiras
Sarah Lima,724.361.805-71,Sergipe,3,1997-03-16,bjesus@mendes.br,"Trecho Paulo Aragão, 3",noturno,banco de dados
Larissa Melo,274.908.153-04,Piauí,3,2000-10-02,valentina72@farias.br,"Fazenda Gabriel das Neves, 91",matutino,scrum
Sophia das Neves,923.840.567-00,Sergipe,3,1994-10-25,aalmeida@bol.com.br,"Pátio de Viana, 80",noturno,carreiras
Lorenzo Cardoso,641.389.705-84,Amazonas,1,1997-07-26,emillydas-neves@bol.com.br,"Aeroporto Gomes, 42",vespertino,github
João Lopes,093.725.684-65,Mato Grosso,3,1992-09-23,ana-beatriz65@yahoo.com.br,Favela Gomes,vespertino,carreiras
Joaquim Sales,801.653.742-17,Tocantins,2,1996-07-12,nicole67@rodrigues.br,Lagoa Ana Laura Peixoto,matutino,scrum
Emilly Gomes,649.321.785-73,Minas Gerais,1,2000-05-19,cardosomilena@hotmail.com,"Feira de Ramos, 14",matutino,carreiras
Thales Moreira,132.964.875-73,Piauí,1,1997-08-19,esouza@hotmail.com,Vereda Peixoto,matutino,scrum
Rafaela Farias,431.768.052-17,Espírito Santo,2,1994-05-12,maria-eduarda73@goncalves.com,"Vale de da Cruz, 6",noturno,carreiras
Júlia Cardoso,570.124.369-99,Amapá,2,2002-12-27,teixeiraluiz-felipe@goncalves.org,"Vale de Barbosa, 91",vespertino,scrum
Vinicius Gonçalves,836.504.921-05,Mato Grosso,1,1995-05-20,renanaraujo@rezende.com,"Feira Lívia da Cruz, 71",matutino,banco de dados
Ana Carolina da Conceição,405.628.391-51,Santa Catarina,3,1994-01-29,nbarros@da.br,"Esplanada de Nogueira, 48",vespertino,aprofundamento ao python
Luiz Gustavo Araújo,274.139.085-14,Mato Grosso do Sul,3,1998-10-27,santosrafael@pinto.com,"Sítio de Nunes, 98",matutino,carreiras
Henrique Viana,105.972.846-01,Minas Gerais,3,1999-01-01,santosamanda@barros.br,"Trevo Pedro Henrique Castro, 130",noturno,banco de dados
Marina Alves,867.213.954-28,São Paulo,2,1998-09-02,eloahlima@gmail.com,"Área de Campos, 652",noturno,scrum
Lorena Souza,235.749.816-19,Minas Gerais,2,1995-03-28,cardosoalexia@silveira.com,"Rua Nicolas Campos, 2",noturno,git
Marcela Costa,012.539.867-03,Amazonas,1,2004-12-06,evelynda-mata@uol.com.br,Largo Lima,matutino,banco de dados
Gustavo Henrique da Paz,534.987.621-09,Pará,2,2003-10-22,tporto@bol.com.br,"Avenida de Martins, 31",matutino,git
Rebeca Viana,103.492.756-61,Pernambuco,3,2003-12-01,enzoda-mota@fogaca.br,Avenida da Rocha,matutino,scrum
Olivia Nogueira,904.713.628-40,Acre,2,1998-07-23,lcosta@ramos.br,"Favela Moraes, 36",noturno,scrum
Camila Costela,190.654.378-00,Espírito Santo,1,2003-09-05,almeidaana-julia@yahoo.com.br,"Favela Barbosa, 47",matutino,git
Luiz Gustavo da Rocha,913.740.285-41,Amazonas,3,2005-04-11,ana-julia97@viana.com,"Aeroporto de Castro, 746",matutino,carreiras
Levi Rodrigues,348.109.672-04,Pará,3,1994-01-01,bernardopeixoto@fernandes.com,"Travessa Lopes, 81",vespertino,scrum
Luna Caldeira,640.281.573-07,Minas Gerais,3,2003-12-17,rebecacastro@hotmail.com,Travessa de Correia,matutino,git
Yuri Nunes,306.714.928-96,Roraima,2,1993-03-21,maria-vitorialima@moreira.br,"Quadra Caroline Viana, 15",noturno,git
Emanuel Carvalho,604.291.578-94,Acre,3,2005-03-21,levi86@rezende.br,"Chácara Barbosa, 2",vespertino,git
Igor Novaes,302.685.174-44,Minas Gerais,2,1993-10-22,theomelo@da.br,"Viaduto de Souza, 68",noturno,banco de dados
Pedro da Rosa,209.348.517-60,Distrito Federal,1,1998-05-19,oalmeida@uol.com.br,"Loteamento Rocha, 4",matutino,git
Davi Luiz Nunes,762.430.195-43,Rio Grande do Norte,2,1999-11-16,castroluiz-felipe@hotmail.com,"Loteamento Maria Cecília Sales, 23",vespertino,aprofundamento ao python
Diogo Moura,619.204.578-01,Pernambuco,3,1998-01-17,eribeiro@fogaca.com,"Setor Cunha, 902",noturno,aprofundamento ao python
Maysa Barros,752.910.684-85,Pernambuco,1,2004-05-15,nalmeida@ferreira.com,"Rodovia Ana Clara da Mata, 20",matutino,git
Enzo Gabriel Nogueira,687.951.403-01,Rio de Janeiro,2,1993-01-07,maysa12@gmail.com,"Largo de Dias, 24",matutino,git
Caio Castro,216.809.435-70,Pará,1,2002-03-30,otaviocorreia@hotmail.com,"Viaduto Gonçalves, 94",vespertino,carreiras
Marcela Fogaça,620.358.417-71,Acre,2,1993-11-22,sarah88@yahoo.com.br,"Viaduto Nascimento, 23",matutino,introdução ao python
Davi Luiz Teixeira,806.597.321-30,Roraima,3,2002-12-12,ndias@monteiro.br,"Trevo de da Rosa, 48",matutino,banco de dados
Fernando Almeida,231.805.764-80,Pernambuco,1,1999-07-14,luiz-miguel85@rodrigues.br,"Rodovia de da Rosa, 6",vespertino,carreiras
Pedro Henrique Oliveira,538.792.146-46,Rio de Janeiro,2,1993-05-05,azevedoluana@jesus.br,"Chácara Moreira, 69",matutino,git
Brenda Cunha,274.509.136-07,Minas Gerais,3,1993-04-23,bernardo38@silva.com,Largo de da Paz,noturno,scrum
Julia da Paz,216.759.804-11,Maranhão,1,2002-03-11,raquel31@bol.com.br,"Residencial Barros, 20",vespertino,aprofundamento ao python
Leonardo Cardoso,387.412.609-96,Tocantins,2,2000-09-06,da-cunhaagatha@gmail.com,"Praça Murilo Souza, 67",vespertino,banco de dados
Giovanna Sales,341.069.527-34,Rio Grande do Norte,1,2004-06-08,almeidahelena@gmail.com,"Residencial Eloah Campos, 739",vespertino,introdução ao python
Maysa Ribeiro,601.238.549-89,Roraima,1,1996-04-06,stephanydias@bol.com.br,"Setor de Pereira, 87",vespertino,introdução ao python
João Vitor Rocha,504.271.638-62,Pernambuco,1,1991-04-02,alveslaura@hotmail.com,"Vale de da Costa, 1",noturno,carreiras
Igor da Paz,178.950.624-76,Alagoas,3,1995-06-07,mda-mata@bol.com.br,"Trevo Caio da Luz, 75",vespertino,introdução ao python
Eduarda Oliveira,731.480.659-48,Rio Grande do Sul,2,1996-02-21,ubarros@hotmail.com,"Recanto Araújo, 67",vespertino,scrum
Joana das Neves,819.053.467-00,Paraíba,2,1992-07-19,souzaleandro@da.br,"Campo Souza, 134",noturno,git
Benício Moreira,742.316.958-73,São Paulo,3,2003-03-23,rochamaria-vitoria@yahoo.com.br,"Travessa de Costela, 6",noturno,github
Davi Lucas Sales,952.138.076-40,Acre,2,1998-05-30,naraujo@da.br,"Lago Cardoso, 3",noturno,github
Carolina Jesus,078.136.924-03,Distrito Federal,1,2003-10-26,fernandopeixoto@uol.com.br,"Esplanada de Aragão, 37",noturno,github
Calebe Freitas,465.872.109-02,Rio Grande do Norte,2,1993-12-31,luiz-fernandoda-cunha@ig.com.br,"Pátio Emanuel Sales, 39",vespertino,git
Erick Ferreira,942.608.351-06,Mato Grosso do Sul,3,1996-12-26,alanafernandes@ig.com.br,"Esplanada de Moraes, 10",noturno,aprofundamento ao python
João Vitor Mendes,029.843.176-96,Minas Gerais,2,1998-07-11,jpeixoto@pereira.br,"Jardim Cardoso, 91",matutino,carreiras
Alexia Rodrigues,275.984.106-58,Roraima,3,1991-02-02,mariacarvalho@moura.org,"Esplanada de Pinto, 11",vespertino,introdução ao python
Stella Castro,410.576.398-93,Piauí,2,1999-03-15,gabrielly20@hotmail.com,"Setor Lorena Mendes, 72",matutino,scrum
Natália Gomes,120.683.549-42,Piauí,3,1996-07-18,silvasofia@ig.com.br,"Estação Matheus Nunes, 19",noturno,banco de dados
Evelyn Cavalcanti,257.843.690-83,Mato Grosso do Sul,1,1991-10-14,barrosluiz-gustavo@da.br,"Colônia de da Cunha, 24",vespertino,banco de dados
Benício Cunha,403.618.752-07,Sergipe,3,1991-08-09,aragaomaite@hotmail.com,"Trecho de Lopes, 6",matutino,carreiras
Yago Viana,340.517.286-17,Pernambuco,3,2000-07-03,da-rosaana@pereira.br,"Esplanada João Guilherme Pires, 13",vespertino,aprofundamento ao python
Eloah Alves,569.278.401-76,Rio de Janeiro,3,2002-08-22,silvaalexia@aragao.com,Lago de Lima,noturno,scrum
Mariane Peixoto,670.352.819-59,Santa Catarina,1,1995-09-15,miguelaragao@hotmail.com,"Morro Agatha da Rosa, 63",vespertino,aprofundamento ao python
Lucas Gabriel Barros,574.108.369-20,Paraíba,1,1999-01-19,eda-luz@jesus.org,"Fazenda Marcos Vinicius Pinto, 196",noturno,banco de dados
Arthur Rodrigues,651.978.204-11,Amazonas,3,1994-11-05,enricoribeiro@silveira.br,Travessa Eduardo Martins,noturno,carreiras
Raquel Duarte,274.058.936-00,Goiás,1,1994-04-28,xfogaca@ig.com.br,"Rua da Mata, 953",vespertino,github
Enzo Gabriel da Mota,907.183.624-03,Santa Catarina,3,1991-06-07,da-cunhaclara@yahoo.com.br,"Pátio de da Mota, 81",matutino,github
Felipe das Neves,957.064.813-93,Pará,2,2000-12-19,gustavo76@da.br,"Campo Peixoto, 90",matutino,carreiras
Leonardo Silva,572.149.638-09,Paraná,2,2001-04-14,jjesus@novaes.com,"Campo Gomes, 521",noturno,git
Pedro Henrique Moura,197.520.643-61,Paraíba,2,1998-11-15,oliveiracaua@sales.br,"Viela Cardoso, 6",matutino,introdução ao python
Murilo Fernandes,768.031.452-71,Rio de Janeiro,2,1999-03-06,pfogaca@uol.com.br,"Esplanada Luiz Felipe Moreira, 91",noturno,carreiras
Lucca Teixeira,463.709.512-34,Rio Grande do Sul,2,2003-01-19,brunosilva@goncalves.net,"Condomínio Pedro da Rocha, 2",noturno,introdução ao python
Raquel Moreira,219.630.875-77,Amazonas,1,2000-01-11,beatriz25@da.com,"Campo Barbosa, 5",vespertino,aprofundamento ao python
Francisco da Paz,759.013.264-07,Pernambuco,3,1992-09-17,zaraujo@da.br,"Quadra Thales Martins, 42",vespertino,git
João Pires,268.517.430-35,Santa Catarina,3,1995-04-20,emanuel17@hotmail.com,"Área Renan Santos, 52",vespertino,scrum
Marcela Araújo,604.289.375-00,Alagoas,2,1994-01-07,da-motaeduarda@santos.com,"Trecho da Luz, 66",vespertino,git
Isabel da Cruz,790.615.284-02,Amazonas,1,2005-08-27,carvalhocaroline@barbosa.br,"Conjunto Juliana da Costa, 47",vespertino,github
Augusto Rodrigues,568.734.102-17,Bahia,3,1995-06-01,heitor17@yahoo.com.br,"Favela de Campos, 5",vespertino,carreiras
Rodrigo da Mata,538.917.604-93,Distrito Federal,3,1995-06-16,levi75@hotmail.com,"Travessa de Rocha, 32",noturno,scrum
Clara Monteiro,486.317.052-17,Santa Catarina,1,2004-02-17,apeixoto@da.com,"Avenida Lara Cavalcanti, 939",vespertino,introdução ao python
Anthony Campos,137.204.968-13,Ceará,3,1992-05-21,gmoreira@nunes.com,"Núcleo Monteiro, 408",matutino,scrum
Yago Gonçalves,079.421.653-61,Minas Gerais,1,1995-08-24,moraesbruno@alves.org,"Alameda Danilo Moura, 84",matutino,aprofundamento ao python
Helena da Cruz,941.308.672-96,Goiás,1,2001-10-23,clara77@uol.com.br,"Quadra de Araújo, 75",noturno,git
Bianca Araújo,701.528.649-11,Roraima,2,1992-08-31,stephanymoreira@monteiro.org,Sítio de Melo,matutino,github
Larissa da Luz,619.532.740-99,Paraíba,3,2005-08-05,oliviacavalcanti@yahoo.com.br,Núcleo Costela,matutino,git
Amanda Caldeira,267.054.918-76,Distrito Federal,1,1995-03-10,aliceazevedo@aragao.br,"Alameda Rocha, 22",matutino,banco de dados
Maria Pinto,948.365.012-70,Paraíba,2,1993-03-15,luiz-henrique93@hotmail.com,"Avenida Campos, 71",noturno,git
João Pedro Lima,948.172.506-58,Acre,2,1994-09-22,yurisilva@cardoso.com,"Largo Caldeira, 15",vespertino,github
Augusto Martins,903.214.687-40,Bahia,2,2003-05-04,melolucca@hotmail.com,Praça Gomes,vespertino,scrum
Lucca Fernandes,417.592.380-23,Rondônia,3,2004-03-11,theo90@cunha.net,"Estação de Campos, 48",vespertino,github
Davi Lucas Campos,761.092.834-87,Ceará,2,2002-05-04,alananascimento@gmail.com,"Esplanada Melissa da Cruz, 52",matutino,scrum
Maria Alice Dias,703.956.421-16,Amapá,1,1992-10-11,gribeiro@gmail.com,"Distrito de Costela, 606",vespertino,carreiras
Luiz Henrique Freitas,493.016.728-04,Mato Grosso do Sul,3,2002-09-10,castroemanuelly@ig.com.br,"Chácara Luiz Fernando Silveira, 623",noturno,banco de dados
Emanuel Pires,602.479.835-00,Amazonas,1,1997-07-16,maria-luizabarbosa@silveira.br,"Lagoa de Barbosa, 6",vespertino,banco de dados
Isabella Duarte,103.678.259-02,Paraná,1,1999-02-19,giovanna32@uol.com.br,"Ladeira da Paz, 87",noturno,introdução ao python
Luiz Felipe Moreira,027.865.439-83,Piauí,3,2004-12-23,rodriguescarolina@uol.com.br,"Ladeira de Rezende, 5",vespertino,git
Sarah Moraes,263.579.048-56,Amazonas,2,2004-06-16,da-costaluiza@cavalcanti.net,"Viaduto de Freitas, 97",noturno,github
Renan Rezende,469.287.350-74,Pernambuco,3,2002-06-28,camposjoana@uol.com.br,"Área de da Cunha, 465",vespertino,banco de dados
Luigi Gomes,457.210.968-02,São Paulo,3,1994-12-04,luiz-otavio97@bol.com.br,"Sítio Correia, 152",vespertino,carreiras
Ana Julia da Rosa,054.162.937-99,Paraná,3,1997-12-09,vitor-hugo12@farias.com,"Ladeira João Guilherme Alves, 194",matutino,github
Ana Carolina Almeida,456.903.872-74,Sergipe,3,2000-11-23,igor97@uol.com.br,"Campo Nogueira, 3",noturno,banco de dados
Luiz Miguel Moura,210.473.685-44,Tocantins,3,1998-08-28,gabrielly01@da.com,"Campo Camila Barbosa, 25",noturno,github
Luiz Fernando Alves,819.250.763-77,Paraná,2,1992-05-21,wmonteiro@santos.com,"Parque Sabrina da Rocha, 56",noturno,introdução ao python
Bárbara Oliveira,310.697.285-86,Ceará,2,1996-05-26,eduardogomes@da.org,"Passarela de Carvalho, 97",vespertino,carreiras
Catarina Gomes,364.850.972-10,Maranhão,2,1997-07-12,pintofernanda@castro.br,"Lago de Monteiro, 4",vespertino,banco de dados
Gabriela das Neves,395.821.460-60,Roraima,3,1992-03-07,jsantos@ig.com.br,"Esplanada Ribeiro, 69",matutino,carreiras
Agatha Farias,293.476.018-96,Alagoas,1,2003-08-31,leonardoda-rosa@da.com,"Setor de Vieira, 6",matutino,carreiras
Daniel Barbosa,608.412.937-40,Distrito Federal,3,1991-06-25,barbosastephany@da.com,"Feira Silveira, 9",vespertino,git
Ana Beatriz da Mota,843.617.025-35,Pernambuco,1,1999-10-17,pedro-henriquealves@yahoo.com.br,"Colônia de Rezende, 47",matutino,banco de dados
Calebe Caldeira,035.178.694-57,Mato Grosso do Sul,3,1993-09-11,barbosaana-luiza@cardoso.com,"Favela Samuel Dias, 6",vespertino,banco de dados
Lara da Mota,516.842.379-55,Goiás,1,1997-06-23,freitasheitor@lopes.net,"Morro de Melo, 90",noturno,introdução ao python
Francisco da Rocha,249.810.675-85,Paraná,2,2003-11-04,caio72@gmail.com,"Recanto de da Rocha, 15",vespertino,introdução ao python
Davi Lima,043.926.157-07,Paraná,3,1994-09-04,vieirathiago@uol.com.br,"Largo Maria Vitória Martins, 92",vespertino,github
Brenda Cardoso,284.976.530-92,Espírito Santo,2,2004-10-16,samuelpinto@ig.com.br,"Setor Maria Sophia Correia, 41",vespertino,git
Kamilly Farias,936.745.812-64,Distrito Federal,1,1997-07-18,carolinadas-neves@sales.br,"Avenida de Castro, 34",noturno,banco de dados
Beatriz das Neves,096.824.173-50,São Paulo,3,1995-10-05,isabelly55@da.br,"Sítio Lopes, 39",vespertino,git
Ana Clara Ribeiro,153.709.826-86,Minas Gerais,2,2003-03-21,rafaela56@novaes.br,Largo Barros,matutino,scrum
Luiz Henrique Gonçalves,490.723.618-22,Roraima,1,2000-10-22,isis50@bol.com.br,"Trevo de Nascimento, 41",noturno,aprofundamento ao python
Pietra Azevedo,029.134.687-13,Goiás,1,1994-10-29,ana-juliamelo@teixeira.com,"Quadra de Araújo, 38",matutino,aprofundamento ao python
Arthur Teixeira,321.054.976-16,São Paulo,1,1993-06-29,maria-alicenogueira@hotmail.com,"Aeroporto de Novaes, 86",matutino,scrum
Alexia Martins,650.234.918-89,Roraima,2,1995-08-10,nascimentoisabella@das.br,"Largo Davi Lucca Costa, 85",noturno,git
Sabrina Silveira,064.823.759-10,São Paulo,2,1996-08-12,catarinaazevedo@hotmail.com,"Setor Maria Vitória Viana, 59",noturno,introdução ao python
Alana Almeida,045.896.317-84,São Paulo,1,2002-11-14,levicampos@oliveira.com,"Praia de Novaes, 4",matutino,scrum
Heloísa Cardoso,935.120.648-33,Paraíba,1,2004-04-12,ida-rocha@bol.com.br,Esplanada Murilo Almeida,noturno,introdução ao python
Luigi Jesus,538.749.120-60,Rondônia,2,1991-08-30,teixeirabeatriz@bol.com.br,"Aeroporto de Duarte, 56",noturno,introdução ao python
Ana Campos,586.324.710-07,Rio de Janeiro,1,1996-12-23,erickda-luz@yahoo.com.br,"Fazenda de Barros, 20",noturno,aprofundamento ao python
Ana Vitória Barros,305.286.194-89,Rio Grande do Norte,1,2000-08-08,vieiraisabelly@novaes.br,"Condomínio Calebe Alves, 343",noturno,git
Nina Barros,654.182.937-37,Piauí,2,1997-03-31,teixeiralaura@alves.br,"Loteamento João Lucas Caldeira, 21",noturno,introdução ao python
Carlos Eduardo Rodrigues,561.027.398-68,Sergipe,3,1998-06-09,francisco41@hotmail.com,Pátio Maria Julia da Mata,matutino,aprofundamento ao python
Giovanna Gonçalves,049.573.612-07,Minas Gerais,3,1998-01-22,gnunes@uol.com.br,"Núcleo Teixeira, 9",noturno,introdução ao python
Clarice Campos,694.128.375-00,Rio Grande do Sul,3,2005-05-04,ribeiromaria-eduarda@dias.org,"Setor Thiago Ribeiro, 167",matutino,git
Kevin Jesus,174.032.658-07,Tocantins,1,1996-11-24,isabellyaraujo@correia.br,"Recanto de Barros, 86",noturno,github
Erick Carvalho,538.902.714-05,Espírito Santo,2,2000-01-11,marcelacampos@das.com,Viaduto da Mata,matutino,introdução ao python
Ana Carolina Fogaça,963.814.072-04,Paraná,2,2004-11-13,diogoramos@hotmail.com,"Praça Alexia Carvalho, 66",vespertino,scrum
João Felipe da Luz,847.506.213-07,Alagoas,1,1993-03-12,da-costalucas@ig.com.br,"Sítio Luigi Silveira, 20",noturno,carreiras
Cauã Fogaça,306.845.127-26,Espírito Santo,3,1999-05-28,marcelooliveira@ferreira.com,"Fazenda Paulo Barros, 75",noturno,introdução ao python
Luigi Cardoso,587.164.920-30,Espírito Santo,2,1992-08-19,natalialopes@ig.com.br,"Área Lima, 34",noturno,scrum
Bryan Novaes,286.941.503-60,Mato Grosso,1,2004-06-10,pvieira@moreira.br,"Setor de Jesus, 64",matutino,scrum
João Lucas Cardoso,756.348.210-53,Rondônia,1,1996-01-10,leticia39@goncalves.com,"Condomínio Arthur Rocha, 86",matutino,scrum
Camila da Rocha,143.297.086-04,Alagoas,1,1993-02-02,dferreira@ig.com.br,Favela Gonçalves,vespertino,introdução ao python
Noah Gomes,740.165.283-80,Mato Grosso do Sul,2,1994-08-29,gabriela30@ig.com.br,Condomínio de Rocha,vespertino,introdução ao python
Ana Vitória Alves,908.216.745-01,Paraíba,2,2000-01-13,isisdias@da.org,Fazenda Dias,vespertino,scrum
Ryan Nascimento,201.486.397-04,Mato Grosso,2,1991-06-20,luizaribeiro@gmail.com,"Estrada de Souza, 68",noturno,banco de dados
Maria Julia Castro,209.175.384-04,Acre,2,1992-05-05,ana-sophia92@farias.br,"Loteamento Rezende, 403",vespertino,banco de dados
